OBJECTID,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
1,-9999,143070,Fill-NoData,-9999,-9999,NA,NA,NA,-9999,NA,NA,NA,NA,NA,255,255,255,1,1,1
2,7008,313939,North Pacific Oak Woodland,7008,2008,Tr North Pacific Oak Woodland,Tree,Hardwood,629,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203,255,171,0.796078,1,0.670588
3,7011,203132,Rocky Mountain Aspen Forest and Woodland,7011,2011,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,602,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1,0.541176
4,7014,2201307,Central and Southern California Mixed Evergreen Woodland,7014,2014,Tr Central and Southern California Mixed Evergreen Woodland,Tree,Conifer,626,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,145,255,115,0.568627,1,0.45098
5,7015,5640077,California Coastal Redwood Forest,7015,2015,Tr California Coastal Redwood Forest,Tree,Conifer,634,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,135,255,105,0.529412,1,0.411765
6,7017,3970326,Columbia Plateau Western Juniper Woodland and Savanna,7017,2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,Conifer,620,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,108,255,82,0.423529,1,0.321569
7,7019,6491553,Great Basin Pinyon-Juniper Woodland,7019,2019,Tr Great Basin Pinyon-Juniper Woodland,Tree,Conifer,630,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,78,255,59,0.305882,1,0.231373
8,7020,214353,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,7020,2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,Conifer,621,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,63,255,46,0.247059,1,0.180392
9,7021,332828,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,7021,2021,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,645,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,42,255,31,0.164706,1,0.121569
10,7022,34913,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,7022,2022,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,645,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,224,252,192,0.878431,0.988235,0.752941
11,7025,190,Madrean Pinyon-Juniper Woodland,7025,2025,Tr Madrean Pinyon-Juniper Woodland,Tree,Conifer,630,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,121,255,94,0.47451,1,0.368627
12,7027,12530012,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,7027,2027,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,222,0,0,0.870588,0
13,7028,19269503,Mediterranean California Mesic Mixed Conifer Forest and Woodland,7028,2028,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,204,0,0,0.8,0
14,7029,5281555,Mediterranean California Mixed Oak Woodland,7029,2029,Tr Mediterranean California Mixed Oak Woodland,Tree,Hardwood,629,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,189,0,0,0.741176,0
15,7030,6540189,Mediterranean California Lower Montane Conifer Forest and Woodland,7030,2030,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,Conifer,610,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,189,0,0,0.741176,0
16,7031,4798507,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,7031,2031,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,Conifer,631,"Ponderosa Pine Forest, Woodland and Savanna",SAF 247: Jeffrey Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,173,0,0,0.678431,0
17,7032,6145225,Mediterranean California Red Fir Forest,7032,2032,Tr Mediterranean California Red Fir Forest,Tree,Conifer,633,Red Fir Forest and Woodland,SAF 207: Red Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,158,0,0,0.619608,0
18,7033,1366238,Mediterranean California Subalpine Woodland,7033,2033,Tr Mediterranean California Subalpine Woodland,Tree,Conifer,640,Subalpine Woodland and Parkland,SAF 256: California Mixed Subalpine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,145,0,0,0.568627,0
19,7034,64023,Mediterranean California Mesic Serpentine Woodland,7034,2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,Conifer,607,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,224,252,192,0.878431,0.988235,0.752941
20,7035,4,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,7035,2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,Conifer,614,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,130,0,0,0.509804,0
21,7037,5475,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,7037,2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,Conifer,615,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0,0.411765,0
22,7039,4,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,7039,2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,Conifer,615,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0,0.411765,0
23,7041,9741,North Pacific Mountain Hemlock Forest,7041,2041,Tr North Pacific Mountain Hemlock Forest,Tree,Conifer,627,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,92,0,0,0.360784,0
24,7042,2,North Pacific Mesic Western Hemlock-Silver Fir Forest,7042,2042,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,Conifer,642,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0,0.278431,0
25,7043,15578056,Mediterranean California Mixed Evergreen Forest,7043,2043,Tr Mediterranean California Mixed Evergreen Forest,Tree,Conifer,626,California Mixed Evergreen Forest and Woodland,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,61,0,0,0.239216,0
26,7044,2230591,Northern California Mesic Subalpine Woodland,7044,2044,Tr Northern California Mesic Subalpine Woodland,Tree,Conifer,627,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,92,0,0,0.360784,0
27,7045,473,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,7045,2045,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,Conifer,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0,0.2,0
28,7051,67724,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,7051,2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,Conifer,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0,0.2,0
29,7053,106788,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,7053,2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,Conifer,631,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1,0.709804
30,7054,15254,Southern Rocky Mountain Ponderosa Pine Woodland,7054,2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,631,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1,0.709804
31,7055,17684,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,7055,2055,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,Conifer,639,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,236,252,204,0.92549,0.988235,0.8
32,7058,2301395,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,7058,2058,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,Conifer,622,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163,240,219,0.639216,0.941176,0.858824
33,7061,17590,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,7061,2061,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,Conifer-Hardwood,603,Aspen-Mixed Conifer Forest and Woodland,SAF 217: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,192,255,138,0.752941,1,0.541176
